longitude,latitude
86.14165,22.61399
85.34245727272727,22.730352727272727
86.839572,22.249492
85.253104,22.049672
86.20287896551724,22.79216344827586
85.78095,23.5988
85.69148,22.56378
86.805354,22.443103999999998
85.56495,23.245714999999997
86.55166,23.26444
85.100798,21.9829
85.72556750000001,22.910465000000002
86.61220500000002,22.436252500000002
86.523735,22.86329
86.86223333333334,22.045976666666665
85.47543,22.539596666666668
86.14437,22.33641
85.26842500000001,22.686212
85.76751999999999,22.371195
86.85721,22.7837
86.43495499999999,22.553115
85.5007,22.018420000000006
86.58266,22.02698
85.22253,22.43133
85.11930666666666,22.130433333333333
